197	44
271	27
201	27
377	42
96	27
378	54
496	27
539	36
114	2
266	47
212	12
137	50
421	45
517	2
526	4
187	36
353	23
527	27
84	46
215	23
317	27
408	50
155	4
286	27
187	43
419	46
322	34
291	36
146	36
98	53
36	12
277	43
398	12
213	36
466	35
539	46
395	2
235	20
395	12
347	20
234	20
539	12
148	23
105	20
281	35
359	53
30	20
211	12
313	53
521	12
115	23
171	24
421	53
312	36
26	20
199	45
473	6
516	50
296	27
307	59
432	4
535	12
244	4
459	47
353	2
478	2
25	36
359	2
539	2
565	12
393	46
345	36
315	12
423	21
441	15
240	4
163	4
40	4
239	50
553	46
395	20
136	27
545	11
199	59
190	20
310	42
199	27
353	17
539	45
138	2
211	4
316	4
317	12
421	17
527	36
544	2
266	39
207	45
164	43
135	47
105	2
81	2
539	59
106	23
161	48
199	21
561	2
445	35
392	20
242	27
268	43
199	46
105	43
504	46
351	43
165	27
421	41
117	44
470	27
213	20
498	23
199	42
539	43
85	9
510	50
476	53
104	15
490	27
248	42
150	4
108	12
108	50
501	4
485	45
181	50
525	12
49	12
539	34
104	0
416	27
211	43
180	12
98	20
265	20
105	50
256	35
163	36
73	36
8	43
151	20
213	27
543	27
509	50
402	27
135	4
369	4
108	2
372	36
187	6
211	33
421	47
564	46
83	12
83	4
211	2
484	50
108	36
460	46
211	50
211	52
559	4
344	2
214	20
100	17
429	35
226	15
353	21
301	6
218	47
194	43
380	23
537	27
313	52
96	12
481	4
402	50
325	27
413	4
550	0
446	46
388	36
421	52
530	23
424	4
418	50
302	4
387	20
380	50
493	27
118	4
562	4
511	50
212	23
525	45
556	27
218	12
105	27
252	27
353	12
428	27
546	27
329	33
422	12
166	42
211	11
187	15
9	8
512	50
359	58
402	23
60	4
172	36
399	50
108	45
243	35
205	43
211	15
28	47
141	4
108	4
6	20
440	20
484	43
210	20
38	36
28	36
402	54
221	50
148	27
447	46
539	53
83	45
253	12
558	4
28	43
489	27
67	45
108	6
43	42
353	11
326	42
525	20
502	2
237	27
401	50
218	14
380	33
41	20
199	50
525	21
520	53
454	4
562	12
343	12
505	53
353	19
351	36
363	8
353	48
269	54
259	15
498	12
128	46
235	42
108	39
421	6
213	47
498	36
235	53
539	20
108	43
429	43
153	23
204	45
211	19
67	55
156	50
121	20
32	36
539	44
408	23
199	11
187	2
409	27
283	12
353	42
426	27
368	46
67	12
359	12
325	34
137	27
353	53
231	36
487	4
278	50
288	12
398	27
324	2
131	50
540	12
360	39
567	6
394	45
498	43
66	46
260	27
431	20
101	4
421	43
173	11
126	36
359	43
190	8
240	2
108	58
553	21
148	35
531	36
90	50
15	20
104	11
557	33
539	47
451	15
358	2
331	15
178	45
225	27
104	35
28	42
251	43
272	20
435	12
133	12
365	2
112	46
306	50
539	39
507	27
327	35
211	35
418	27
380	42
366	6
463	20
199	20
539	50
541	27
134	27
353	6
135	11
173	15
287	12
229	15
527	0
186	20
353	44
120	44
211	47
421	1
177	27
110	50
189	43
477	36
484	17
105	4
472	35
471	23
353	30
104	20
359	41
275	27
354	20
212	48
202	50
99	36
179	4
342	35
391	47
211	46
4	23
527	23
65	27
62	12
395	53
539	48
382	59
380	46
525	39
353	33
247	47
353	39
105	46
266	48
129	12
483	27
58	27
353	46
412	13
359	11
232	35
97	39
123	12
353	20
525	26
104	12
353	38
104	36
31	27
450	2
304	24
382	4
132	20
84	43
135	53
553	43
240	12
80	45
258	12
415	50
311	12
421	23
550	27
525	3
415	12
553	42
542	11
212	0
380	12
199	38
367	4
567	27
225	4
365	19
402	39
516	37
517	20
106	0
45	20
486	20
122	4
502	20
277	37
21	27
187	23
198	46
370	36
480	12
199	39
525	53
527	12
64	20
362	39
379	12
328	12
359	45
539	0
359	46
274	4
238	2
84	6
267	48
332	27
448	46
553	47
317	53
240	19
211	53
421	37
108	38
487	2
285	4
152	6
553	27
94	12
380	15
356	20
479	36
108	23
168	15
64	4
105	36
284	42
195	27
266	43
125	20
105	11
186	12
353	35
350	35
475	39
548	20
28	27
42	12
211	24
553	2
172	45
67	39
19	23
415	20
314	34
337	27
59	20
216	23
87	50
398	50
183	44
33	4
549	27
380	44
75	36
496	37
128	19
200	2
193	12
364	27
455	35
357	27
210	45
218	34
187	4
211	21
173	20
192	20
69	48
222	4
295	4
240	42
248	2
380	20
213	50
380	36
323	43
320	4
48	42
417	58
104	27
330	58
421	4
402	2
525	50
106	4
111	27
323	36
238	19
63	27
56	12
84	36
359	47
86	2
369	48
380	2
359	4
172	43
411	44
553	45
187	27
64	11
218	6
427	53
92	43
439	20
3	2
359	19
139	27
199	34
157	27
82	43
353	4
430	39
449	35
359	16
353	16
340	50
353	58
199	2
67	27
525	47
209	47
68	20
241	39
47	20
488	23
93	54
409	20
384	4
518	27
199	33
431	36
218	17
421	20
550	20
294	48
187	39
553	4
29	43
352	14
104	19
309	54
489	12
218	9
51	12
406	50
7	37
95	36
233	12
225	12
293	27
444	33
523	23
262	36
525	46
78	4
240	27
72	27
74	54
57	21
553	20
519	23
240	20
551	54
421	58
199	17
128	23
434	12
415	23
333	12
375	34
498	2
539	23
240	11
228	20
179	44
336	48
